資料集名稱,主題分類,資料集描述,主要欄位說明
臺北市行人專用清潔箱,環保,提供民眾本市行人專用清潔箱位置查詢，另民眾可用手機下載「台北通」APP，開啟定位設定並由服務專區進入周邊服務後，自「垃圾清潔、舊衣回收」類別點選「清潔箱」服務項目，即可搜尋鄰近之清潔箱。,行政區、地址、經度、緯度、備註
臺北市稅捐稽徵處辦理政策及業務宣導之執行情形表,統計,辦理政策及業務宣導之執行情形表,"項次、宣導項目、媒體類型、宣導期程、預算來源、預算科目、執行金額、受委託廠商名稱、預期效益、刊登或託播對象




"
臺北市立動物園_植物資料,環保,大自然裡除了有各式各樣的動物活躍其間，還有許多美麗繽紛的植物共榮共存，經由動植物間的交互作用進而創造了地球上的生態系多樣性。本資料集提供臺北市立動物園園區之植物展示導覽資訊，帶領社會大眾一同探索植物的奧秘。(本資料集開放授權應用內容僅限文字範圍，圖片、聲音及影片等多媒體資訊不在開放授權範圍),中文名、摘要說明、關鍵字、別名、經度、緯度、位置、英文名、學名、分類學_科、分類學_屬、簡介、地理分布、編號代號、照片說明及URL(4組)、PDF說明及URL(2組)、聲音說明及URL(3組)、影片URL、資料更新日期、序號
臺北市政府所屬政風機構聯絡資訊,資訊,臺北市政府所屬政風機構聯繫電話,序號、行政區域代碼、機關代碼、機關、電話
臺北市代收稅款金融機構,財稅,金融機構,序號、銀行代號、名稱、區碼、連絡電話
臺北市最近5年土地增值稅稅源統計表,財稅,臺北市最近5年土地增值稅稅源統計表(110-114年),年度別、稅種、筆數（筆）、面積（平方公尺）、移轉現值（千元）、調整後原地價（千元）、改良土地費用（千元）、漲價總數額（千元）、長期持有減徵（千元）、查定稅額（千元）、增繳地價抵繳（千元）、重劃減徵（千元）、其他減徵（含都更減徵）（千元）、應納稅額（千元）
臺北市都市更新審議會議程及紀錄,都更,都市更新審議會議程及記錄。,民國年、民國年月日（民國日期）、agenda（議程）、record（會議記錄）、CountyCode。
臺北市學齡前幼兒新生學童預防接種檢查與補種工作手冊,醫療,有關臺北市學齡前幼兒新生學童預防接種檢查與補種工作手冊資料。,編號、資料集名稱、相關資訊、檔案格式、更新日期
臺北市市有尚未利用建物供給資料清冊,財稅,臺北市政府財政局_臺北市市有尚未利用建物供給資料清冊,序號、管理機關、原使用用途、行政區、建物標示、門牌、建物樓層、建築完成日期、AREA_㎡、預定處理方式
臺北市市有尚未利用土地供給資料清冊,財稅,臺北市政府財政局_臺北市市有尚未利用土地供給資料清冊,序號、行政區、段代碼_段小段_地號、面積_m2、管理機關
