year,months,organ,kind,number,numofpeople
106,6,新北市金山分局,總計,4,4
106,6,新北市政府警察局,罰鍰,1747,1747
106,6,新北市板橋分局,罰鍰,296,296
106,6,新北市海山分局,罰鍰,130,130
106,6,新北市中和分局,罰鍰,119,119
106,6,新北市永和分局,罰鍰,138,138
106,6,新北市三重分局,罰鍰,66,66
106,6,新北市新莊分局,罰鍰,228,228
106,6,新北市土城分局,罰鍰,136,136
106,6,新北市新店分局,罰鍰,198,198
106,6,新北市蘆洲分局,罰鍰,123,123
106,6,新北市三峽分局,罰鍰,63,63
106,6,新北市樹林分局,罰鍰,44,44
106,6,新北市汐止分局,罰鍰,86,86
106,6,新北市淡水分局,罰鍰,108,108
106,6,新北市瑞芳分局,罰鍰,11,11
106,6,新北市金山分局,罰鍰,1,1
106,6,新北市政府警察局,没入攤架,1,1
106,6,新北市板橋分局,没入攤架,0,0
106,6,新北市海山分局,没入攤架,0,0
106,6,新北市中和分局,没入攤架,0,0
106,6,新北市永和分局,没入攤架,0,0
106,6,新北市三重分局,没入攤架,0,0
106,6,新北市新莊分局,没入攤架,1,1
106,6,新北市土城分局,没入攤架,0,0
106,6,新北市新店分局,没入攤架,0,0
106,6,新北市蘆洲分局,没入攤架,0,0
106,6,新北市三峽分局,没入攤架,0,0
106,6,新北市樹林分局,没入攤架,0,0
106,6,新北市汐止分局,没入攤架,0,0
106,6,新北市淡水分局,没入攤架,0,0
106,6,新北市瑞芳分局,没入攤架,0,0
106,6,新北市金山分局,没入攤架,0,0
106,6,新北市政府警察局,拆除攤架,0,0
106,6,新北市板橋分局,拆除攤架,0,0
106,6,新北市海山分局,拆除攤架,0,0
106,6,新北市中和分局,拆除攤架,0,0
106,6,新北市永和分局,拆除攤架,0,0
106,6,新北市三重分局,拆除攤架,0,0
106,6,新北市新莊分局,拆除攤架,0,0
106,6,新北市土城分局,拆除攤架,0,0
106,6,新北市新店分局,拆除攤架,0,0
106,6,新北市蘆洲分局,拆除攤架,0,0
106,6,新北市三峽分局,拆除攤架,0,0
106,6,新北市樹林分局,拆除攤架,0,0
106,6,新北市汐止分局,拆除攤架,0,0
106,6,新北市淡水分局,拆除攤架,0,0
106,6,新北市瑞芳分局,拆除攤架,0,0
106,6,新北市金山分局,拆除攤架,0,0
106,6,新北市政府警察局,勸導,1714,1714
106,6,新北市板橋分局,勸導,290,290
106,6,新北市海山分局,勸導,23,23
106,6,新北市中和分局,勸導,303,303
106,6,新北市永和分局,勸導,276,276
106,6,新北市三重分局,勸導,49,49
106,6,新北市新莊分局,勸導,93,93
106,6,新北市土城分局,勸導,52,52
106,6,新北市新店分局,勸導,229,229
106,6,新北市蘆洲分局,勸導,91,91
106,6,新北市三峽分局,勸導,102,102
106,6,新北市樹林分局,勸導,168,168
106,6,新北市汐止分局,勸導,6,6
106,6,新北市淡水分局,勸導,9,9
106,6,新北市瑞芳分局,勸導,20,20
106,6,新北市金山分局,勸導,3,3
106,7,新北市政府警察局,總計,3580,3580
106,7,新北市板橋分局,總計,585,585
